frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
151.8250,Сальск,27 сентября 2022,NFM,Голос,Сухопутная подвижная,РЖД,Не установлены
102.5000,Нефтеюганск,18 сентября 2022,WFM,Голос,Радиовещательная,г. Сургут,Радио Ретро FM
103.3000,Нефтеюганск,18 сентября 2022,WFM,Голос,Радиовещательная,г. Сургут,Авторадио
106.7000,Нефтеюганск,18 сентября 2022,WFM,Голос,Радиовещательная,г. Нефтеюганск,Love радио
91.1000,Нефтеюганск,18 сентября 2022,WFM,Голос,Радиовещательная,г. Сургут,Радио Юмор FM
100.7000,Нефтеюганск,18 сентября 2022,WFM,Голос,Радиовещательная,г. Сургут,Радио Вести FM
107.0000,Нефтеюганск,18 сентября 2022,WFM,Голос,Радиовещательная,г. Сургут,Радио Маяк
10.8700,Новосибирская обл.,14 сентября 2022,USB,Morse,иное (см. комментарий),неизвестно,
12.2600,Красноярск,14 сентября 2022,USB,Голос,Речная подвижная,Судоходная компания Транзит-СВ,Город
8.2200,Красноярск,14 сентября 2022,USB,Голос,Речная подвижная,Судоходная компания Транзит-СВ,Город
4.1350,Красноярск,14 сентября 2022,USB,Голос,Речная подвижная,Судоходная компания Транзит-СВ,Город
6.2550,Красноярск,14 сентября 2022,USB,Голос,Речная подвижная,Судоходная компания Транзит-СВ,Город
151.7750,Елец,10 сентября 2022,NFM,Голос,Сухопутная подвижная,РЖД,Не установлены
153.9750,Россошь,9 сентября 2022,NFM,Голос,Сухопутная подвижная,РЖД,Не установлены
155.1250,Россошь,9 сентября 2022,NFM,Голос,Сухопутная подвижная,РЖД,Не установлены
4.2250,Красноярск,8 сентября 2022,USB,Голос,Речная подвижная,Администрация Енисейского бассейна внутренних водных путей,Красноярск
4.4350,Якутск,5 сентября 2022,USB,Голос,Речная подвижная,ФБУ «Администрация Ленского бассейна»,Жатай-1
6.3700,Якутск,5 сентября 2022,USB,Голос,Речная подвижная,Ленское объединенное речное пароходство,Якутск
6.5190,Ленск,5 сентября 2022,USB,Голос,Речная подвижная,АО СК «АЛРОСА-ЛЕНА»,"Ленск-1, Усть-Кут-3"
